"U:0","U:1","U:2","epsilon","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.21563,0.00077017,0,0.012414,0.00087342,1.3233e-07,-0.0026481,1,0,0.05,0,0.01
-0.2158,0.00081157,0,0.012133,0.00086641,6.5455e-07,-0.0026497,1,0.0001,0.05,0.0001,0.01
-0.21598,0.00085298,0,0.011851,0.0008594,1.1768e-06,-0.0026513,1,0.0002,0.05,0.0002,0.01
-0.21615,0.00089439,0,0.01157,0.00085239,1.699e-06,-0.0026528,1,0.0003,0.05,0.0003,0.01
-0.21632,0.00093579,0,0.011289,0.00084538,2.2212e-06,-0.0026544,1,0.0004,0.05,0.0004,0.01
-0.2165,0.0009772,0,0.011007,0.00083837,2.7434e-06,-0.002656,1,0.0005,0.05,0.0005,0.01
-0.21667,0.0010186,0,0.010726,0.00083136,3.2657e-06,-0.0026576,1,0.0006,0.05,0.0006,0.01
-0.21684,0.00106,0,0.010444,0.00082435,3.7879e-06,-0.0026591,1,0.0007,0.05,0.0007,0.01
-0.21702,0.0011014,0,0.010163,0.00081734,4.3101e-06,-0.0026607,1,0.0008,0.05,0.0008,0.01
-0.21719,0.0011428,0,0.0098817,0.00081033,4.8323e-06,-0.0026623,1,0.0009,0.05,0.0009,0.01
-0.21737,0.0011842,0,0.0096003,0.00080332,5.3545e-06,-0.0026638,1,0.001,0.05,0.001,0.01
-0.21754,0.0012256,0,0.0093189,0.00079631,5.8768e-06,-0.0026654,1,0.0011,0.05,0.0011,0.01
-0.21771,0.001267,0,0.0090374,0.0007893,6.399e-06,-0.002667,1,0.0012,0.05,0.0012,0.01
-0.21789,0.0013084,0,0.008756,0.00078229,6.9212e-06,-0.0026685,1,0.0013,0.05,0.0013,0.01
-0.21806,0.0013498,0,0.0084746,0.00077528,7.4434e-06,-0.0026701,1,0.0014,0.05,0.0014,0.01
-0.21823,0.0013913,0,0.0081932,0.00076827,7.9656e-06,-0.0026717,1,0.0015,0.05,0.0015,0.01
-0.21841,0.0014327,0,0.0079118,0.00076126,8.4879e-06,-0.0026733,1,0.0016,0.05,0.0016,0.01
-0.21846,0.0014826,0,0.0076255,0.00075656,9.0493e-06,-0.0026759,1,0.0017,0.05,0.0017,0.01
-0.21826,0.0015497,0,0.0073292,0.00075647,9.6892e-06,-0.0026806,1,0.0018,0.05,0.0018,0.01
