"U:0","U:1","U:2","epsilon","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.19498,0.018234,0,0.027513,0.012817,0.00053779,-0.18671,1,0.0629,0.05,0.0629,0.01
0.19657,0.018261,0,0.02762,0.012837,0.00053732,-0.18645,1,0.063,0.05,0.063,0.01
0.19815,0.018288,0,0.027727,0.012856,0.00053685,-0.18619,1,0.0631,0.05,0.0631,0.01
0.19973,0.018315,0,0.027833,0.012876,0.00053639,-0.18593,1,0.0632,0.05,0.0632,0.01
0.20131,0.018341,0,0.02794,0.012896,0.00053592,-0.18567,1,0.0633,0.05,0.0633,0.01
0.20292,0.018368,0,0.028062,0.012918,0.00053546,-0.18539,1,0.0634,0.05,0.0634,0.01
0.20454,0.018396,0,0.02819,0.012941,0.00053501,-0.1851,1,0.0635,0.05,0.0635,0.01
0.20615,0.018423,0,0.028319,0.012964,0.00053455,-0.18481,1,0.0636,0.05,0.0636,0.01
0.20777,0.01845,0,0.028447,0.012988,0.0005341,-0.18452,1,0.0637,0.05,0.0637,0.01
0.20938,0.018477,0,0.028576,0.013011,0.00053364,-0.18423,1,0.0638,0.05,0.0638,0.01
0.211,0.018504,0,0.028704,0.013034,0.00053319,-0.18394,1,0.0639,0.05,0.0639,0.01
0.21261,0.018531,0,0.028833,0.013058,0.00053273,-0.18365,1,0.064,0.05,0.064,0.01
0.21423,0.018559,0,0.028961,0.013081,0.00053228,-0.18336,1,0.0641,0.05,0.0641,0.01
0.21584,0.018586,0,0.029089,0.013104,0.00053182,-0.18307,1,0.0642,0.05,0.0642,0.01
0.21746,0.018613,0,0.029218,0.013128,0.00053137,-0.18278,1,0.0643,0.05,0.0643,0.01
0.21908,0.01864,0,0.029346,0.013151,0.00053091,-0.18248,1,0.0644,0.05,0.0644,0.01
0.22069,0.018667,0,0.029475,0.013174,0.00053046,-0.18219,1,0.0645,0.05,0.0645,0.01
0.22231,0.018694,0,0.029603,0.013198,0.00053001,-0.1819,1,0.0646,0.05,0.0646,0.01
0.22392,0.018721,0,0.029732,0.013221,0.00052955,-0.18161,1,0.0647,0.05,0.0647,0.01
0.22554,0.018749,0,0.02986,0.013245,0.0005291,-0.18132,1,0.0648,0.05,0.0648,0.01
0.22715,0.018776,0,0.029989,0.013268,0.00052864,-0.18103,1,0.0649,0.05,0.0649,0.01
0.22877,0.018803,0,0.030117,0.013291,0.00052819,-0.18074,1,0.065,0.05,0.065,0.01
0.23042,0.01883,0,0.03027,0.013319,0.00052776,-0.18042,1,0.0651,0.05,0.0651,0.01
0.23207,0.018857,0,0.030423,0.013346,0.00052733,-0.1801,1,0.0652,0.05,0.0652,0.01
0.23373,0.018885,0,0.030576,0.013373,0.0005269,-0.17978,1,0.0653,0.05,0.0653,0.01
0.23538,0.018912,0,0.030729,0.013401,0.00052647,-0.17946,1,0.0654,0.05,0.0654,0.01
0.23703,0.018939,0,0.030882,0.013428,0.00052604,-0.17914,1,0.0655,0.05,0.0655,0.01
0.23868,0.018967,0,0.031035,0.013456,0.00052561,-0.17882,1,0.0656,0.05,0.0656,0.01
0.24034,0.018994,0,0.031188,0.013483,0.00052518,-0.1785,1,0.0657,0.05,0.0657,0.01
0.24199,0.019021,0,0.031341,0.01351,0.00052474,-0.17818,1,0.0658,0.05,0.0658,0.01
0.24364,0.019049,0,0.031494,0.013538,0.00052431,-0.17786,1,0.0659,0.05,0.0659,0.01
0.24529,0.019076,0,0.031647,0.013565,0.00052388,-0.17754,1,0.066,0.05,0.066,0.01
0.24695,0.019103,0,0.0318,0.013592,0.00052345,-0.17722,1,0.0661,0.05,0.0661,0.01
0.2486,0.01913,0,0.031953,0.01362,0.00052302,-0.1769,1,0.0662,0.05,0.0662,0.01
