"U:0","U:1","U:2","epsilon","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.9518,0.0040031,0,5.5573,0.051111,5.1148e-06,-0.22114,1,0,0.05,0,0.005
-1.9506,0.0042927,0,5.4531,0.051538,1.1605e-05,-0.22127,1,0.0001,0.05,0.0001,0.005
-1.9493,0.0045823,0,5.349,0.051965,1.8095e-05,-0.2214,1,0.0002,0.05,0.0002,0.005
-1.9481,0.0048719,0,5.2448,0.052392,2.4585e-05,-0.22152,1,0.0003,0.05,0.0003,0.005
-1.9469,0.0051615,0,5.1407,0.052819,3.1075e-05,-0.22165,1,0.0004,0.05,0.0004,0.005
-1.9456,0.0054511,0,5.0365,0.053246,3.7564e-05,-0.22178,1,0.0005,0.05,0.0005,0.005
-1.9444,0.0057407,0,4.9324,0.053673,4.4054e-05,-0.22191,1,0.0006,0.05,0.0006,0.005
-1.9432,0.0060303,0,4.8282,0.0541,5.0544e-05,-0.22204,1,0.0007,0.05,0.0007,0.005
-1.9419,0.0063199,0,4.7241,0.054527,5.7034e-05,-0.22217,1,0.0008,0.05,0.0008,0.005
-1.9407,0.0066095,0,4.6199,0.054954,6.3524e-05,-0.2223,1,0.0009,0.05,0.0009,0.005
-1.9394,0.0068991,0,4.5158,0.055381,7.0014e-05,-0.22243,1,0.001,0.05,0.001,0.005
-1.9382,0.0071887,0,4.4116,0.055808,7.6504e-05,-0.22256,1,0.0011,0.05,0.0011,0.005
-1.937,0.0074783,0,4.3075,0.056235,8.2994e-05,-0.22268,1,0.0012,0.05,0.0012,0.005
-1.9357,0.0077679,0,4.2033,0.056662,8.9484e-05,-0.22281,1,0.0013,0.05,0.0013,0.005
-1.9345,0.0080575,0,4.0992,0.057089,9.5974e-05,-0.22294,1,0.0014,0.05,0.0014,0.005
-1.9332,0.0083471,0,3.995,0.057516,0.00010246,-0.22307,1,0.0015,0.05,0.0015,0.005
-1.932,0.0086367,0,3.8909,0.057943,0.00010895,-0.2232,1,0.0016,0.05,0.0016,0.005
-1.9297,0.0089818,0,3.785,0.058575,0.00011633,-0.22341,1,0.0017,0.05,0.0017,0.005
-1.9254,0.0094377,0,3.6755,0.059616,0.00012548,-0.22379,1,0.0018,0.05,0.0018,0.005
-1.9211,0.0098935,0,3.566,0.060658,0.00013464,-0.22417,1,0.0019,0.05,0.0019,0.005
-1.9167,0.010349,0,3.4566,0.0617,0.00014379,-0.22455,1,0.002,0.05,0.002,0.005
-1.9124,0.010805,0,3.3471,0.062742,0.00015294,-0.22492,1,0.0021,0.05,0.0021,0.005
-1.9081,0.011261,0,3.2377,0.063783,0.0001621,-0.2253,1,0.0022,0.05,0.0022,0.005
-1.9037,0.011717,0,3.1282,0.064825,0.00017125,-0.22568,1,0.0023,0.05,0.0023,0.005
-1.8994,0.012173,0,3.0188,0.065867,0.0001804,-0.22606,1,0.0024,0.05,0.0024,0.005
-1.8951,0.012629,0,2.9093,0.066909,0.00018956,-0.22643,1,0.0025,0.05,0.0025,0.005
-1.8907,0.013085,0,2.7999,0.06795,0.00019871,-0.22681,1,0.0026,0.05,0.0026,0.005
-1.8864,0.013541,0,2.6904,0.068992,0.00020786,-0.22719,1,0.0027,0.05,0.0027,0.005
-1.8821,0.013997,0,2.5809,0.070034,0.00021702,-0.22757,1,0.0028,0.05,0.0028,0.005
-1.8777,0.014452,0,2.4715,0.071076,0.00022617,-0.22795,1,0.0029,0.05,0.0029,0.005
-1.8734,0.014908,0,2.362,0.072118,0.00023532,-0.22832,1,0.003,0.05,0.003,0.005
-1.869,0.015364,0,2.2526,0.073159,0.00024448,-0.2287,1,0.0031,0.05,0.0031,0.005
-1.8647,0.01582,0,2.1431,0.074201,0.00025363,-0.22908,1,0.0032,0.05,0.0032,0.005
-1.8604,0.016276,0,2.0337,0.075243,0.00026278,-0.22946,1,0.0033,0.05,0.0033,0.005
-1.8547,0.016629,0,1.9938,0.076271,0.00027143,-0.23,1,0.0034,0.05,0.0034,0.005
-1.8483,0.016931,0,1.9887,0.077292,0.00027982,-0.23063,1,0.0035,0.05,0.0035,0.005
-1.8419,0.017234,0,1.9836,0.078314,0.00028821,-0.23126,1,0.0036,0.05,0.0036,0.005
-1.8355,0.017536,0,1.9785,0.079335,0.0002966,-0.23189,1,0.0037,0.05,0.0037,0.005
-1.8291,0.017838,0,1.9735,0.080357,0.000305,-0.23253,1,0.0038,0.05,0.0038,0.005
-1.8227,0.01814,0,1.9684,0.081378,0.00031339,-0.23316,1,0.0039,0.05,0.0039,0.005
-1.8163,0.018442,0,1.9633,0.082399,0.00032178,-0.23379,1,0.004,0.05,0.004,0.005
-1.8099,0.018744,0,1.9582,0.083421,0.00033017,-0.23442,1,0.0041,0.05,0.0041,0.005
-1.8035,0.019046,0,1.9531,0.084442,0.00033856,-0.23505,1,0.0042,0.05,0.0042,0.005
-1.7971,0.019349,0,1.948,0.085464,0.00034695,-0.23568,1,0.0043,0.05,0.0043,0.005
-1.7907,0.019651,0,1.943,0.086485,0.00035535,-0.23631,1,0.0044,0.05,0.0044,0.005
-1.7843,0.019953,0,1.9379,0.087506,0.00036374,-0.23694,1,0.0045,0.05,0.0045,0.005
-1.7779,0.020255,0,1.9328,0.088528,0.00037213,-0.23757,1,0.0046,0.05,0.0046,0.005
-1.7715,0.020557,0,1.9277,0.089549,0.00038052,-0.2382,1,0.0047,0.05,0.0047,0.005
-1.7651,0.020859,0,1.9226,0.090571,0.00038891,-0.23883,1,0.0048,0.05,0.0048,0.005
-1.7587,0.021161,0,1.9175,0.091592,0.0003973,-0.23946,1,0.0049,0.05,0.0049,0.005
-1.7522,0.021463,0,1.9125,0.092613,0.0004057,-0.24009,1,0.005,0.05,0.005,0.005
-1.7456,0.021684,0,1.9112,0.093256,0.00041192,-0.24096,1,0.0051,0.05,0.0051,0.005
-1.739,0.021904,0,1.9099,0.093899,0.00041814,-0.24183,1,0.0052,0.05,0.0052,0.005
-1.7324,0.022125,0,1.9087,0.094542,0.00042436,-0.2427,1,0.0053,0.05,0.0053,0.005
-1.7258,0.022345,0,1.9074,0.095185,0.00043058,-0.24357,1,0.0054,0.05,0.0054,0.005
-1.7192,0.022565,0,1.9061,0.095828,0.0004368,-0.24444,1,0.0055,0.05,0.0055,0.005
-1.7126,0.022786,0,1.9049,0.096471,0.00044302,-0.24531,1,0.0056,0.05,0.0056,0.005
-1.706,0.023006,0,1.9036,0.097114,0.00044925,-0.24618,1,0.0057,0.05,0.0057,0.005
-1.6994,0.023226,0,1.9024,0.097757,0.00045547,-0.24704,1,0.0058,0.05,0.0058,0.005
