"U:0","U:1","U:2","epsilon","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.2637e-05,-0.00015206,0,0.00044273,0.00015371,0,0.015873,1,0,0,0,0
-8.249e-05,1.4006e-05,0,0.00045599,0.00015835,2.8219e-08,0.015873,1,0.00014177,0.0001,0.0001,1e-05
-0.0002519,0.00018353,0,0.00046929,0.00016306,1.1288e-07,0.015873,1,0.00028355,0.0002,0.0002,2e-05
-0.0004256,0.0003565,0,0.00048262,0.00016785,2.5397e-07,0.015873,1,0.00042532,0.0003,0.0003,3e-05
-0.00060359,0.00053293,0,0.000496,0.00017272,4.5151e-07,0.015873,1,0.0005671,0.0004,0.0004,4e-05
-0.00078587,0.00071281,0,0.00050941,0.00017766,7.0549e-07,0.015872,1,0.00070887,0.0005,0.0005,5e-05
-0.00097243,0.00089615,0,0.00052286,0.00018268,1.0159e-06,0.015872,1,0.00085065,0.0006,0.0006,6e-05
-0.0011633,0.0010829,0,0.00053635,0.00018778,1.3828e-06,0.015872,1,0.00099242,0.0007,0.0007,7e-05
-0.0013584,0.0012732,0,0.00054987,0.00019296,1.806e-06,0.015872,1,0.0011342,0.0008,0.0008,8e-05
-0.0015578,0.0014669,0,0.00056343,0.00019821,2.2858e-06,0.015872,1,0.001276,0.0009,0.0009,9e-05
-0.0017616,0.001664,0,0.00057703,0.00020353,2.8219e-06,0.015871,1,0.0014177,0.001,0.001,0.0001
-0.0019695,0.0018646,0,0.00059067,0.00020894,3.4145e-06,0.015871,1,0.0015595,0.0011,0.0011,0.00011
-0.0021818,0.0020687,0,0.00060434,0.00021442,4.0636e-06,0.015871,1,0.0017013,0.0012,0.0012,0.00012
-0.0023984,0.0022762,0,0.00061806,0.00021998,4.7691e-06,0.01587,1,0.0018431,0.0013,0.0013,0.00013
-0.0026193,0.0024872,0,0.00063181,0.00022561,5.531e-06,0.01587,1,0.0019848,0.0014,0.0014,0.00014
-0.0028444,0.0027016,0,0.0006456,0.00023132,6.3494e-06,0.01587,1,0.0021266,0.0015,0.0015,0.00015
-0.0030738,0.0029195,0,0.00065942,0.00023711,7.2242e-06,0.015869,1,0.0022684,0.0016,0.0016,0.00016
-0.0034058,0.0032385,0,0.00068001,0.00024507,7.9697e-06,0.015868,1,0.0024102,0.0017,0.0017,0.00017
-0.0039447,0.0037609,0,0.0007147,0.00025741,8.3652e-06,0.015866,1,0.0025519,0.0018,0.0018,0.00018
-0.0044973,0.0042935,0,0.00075036,0.00026998,8.7646e-06,0.015863,1,0.0026937,0.0019,0.0019,0.00019
-0.0050637,0.0048362,0,0.00078698,0.00028277,9.1679e-06,0.015861,1,0.0028355,0.002,0.002,0.0002
-0.0056437,0.0053892,0,0.00082457,0.00029579,9.5751e-06,0.015858,1,0.0029773,0.0021,0.0021,0.00021
-0.0062375,0.0059523,0,0.00086312,0.00030903,9.9862e-06,0.015855,1,0.003119,0.0022,0.0022,0.00022
-0.0068449,0.0065256,0,0.00090264,0.0003225,1.0401e-05,0.015852,1,0.0032608,0.0023,0.0023,0.00023
-0.0074661,0.007109,0,0.00094312,0.00033619,1.082e-05,0.015848,1,0.0034026,0.0024,0.0024,0.00024
-0.0081009,0.0077027,0,0.00098456,0.0003501,1.1243e-05,0.015845,1,0.0035444,0.0025,0.0025,0.00025
-0.0087495,0.0083065,0,0.001027,0.00036425,1.167e-05,0.015841,1,0.0036861,0.0026,0.0026,0.00026
-0.0094118,0.0089205,0,0.0010703,0.00037861,1.2101e-05,0.015838,1,0.0038279,0.0027,0.0027,0.00027
-0.010088,0.0095447,0,0.0011147,0.0003932,1.2535e-05,0.015834,1,0.0039697,0.0028,0.0028,0.00028
-0.010777,0.010179,0,0.00116,0.00040802,1.2974e-05,0.01583,1,0.0041115,0.0029,0.0029,0.00029
-0.011481,0.010824,0,0.0012063,0.00042306,1.3416e-05,0.015826,1,0.0042532,0.003,0.003,0.0003
-0.012198,0.011478,0,0.0012535,0.00043833,1.3863e-05,0.015822,1,0.004395,0.0031,0.0031,0.00031
-0.012929,0.012143,0,0.0013017,0.00045382,1.4313e-05,0.015818,1,0.0045368,0.0032,0.0032,0.00032
-0.013673,0.012818,0,0.0013508,0.00046954,1.4767e-05,0.015813,1,0.0046786,0.0033,0.0033,0.00033
-0.014478,0.013573,0,0.0014078,0.00048353,1.5047e-05,0.015804,1,0.0048203,0.0034,0.0034,0.00034
-0.015322,0.014377,0,0.0014687,0.00049647,1.5232e-05,0.015793,1,0.0049621,0.0035,0.0035,0.00035
-0.01618,0.015194,0,0.0015299,0.00050929,1.5409e-05,0.015782,1,0.0051039,0.0036,0.0036,0.00036
-0.017054,0.016026,0,0.0015915,0.00052197,1.5577e-05,0.01577,1,0.0052457,0.0037,0.0037,0.00037
-0.017943,0.016872,0,0.0016533,0.00053452,1.5737e-05,0.015758,1,0.0053874,0.0038,0.0038,0.00038
-0.018846,0.017732,0,0.0017155,0.00054693,1.5889e-05,0.015745,1,0.0055292,0.0039,0.0039,0.00039
-0.019765,0.018606,0,0.001778,0.00055922,1.6033e-05,0.015732,1,0.005671,0.004,0.004,0.0004
-0.020699,0.019494,0,0.0018408,0.00057137,1.6169e-05,0.015719,1,0.0058128,0.0041,0.0041,0.00041
-0.021648,0.020396,0,0.001904,0.00058339,1.6296e-05,0.015705,1,0.0059545,0.0042,0.0042,0.00042
-0.022612,0.021312,0,0.0019675,0.00059528,1.6415e-05,0.015692,1,0.0060963,0.0043,0.0043,0.00043
-0.023591,0.022243,0,0.0020313,0.00060704,1.6526e-05,0.015677,1,0.0062381,0.0044,0.0044,0.00044
-0.024585,0.023188,0,0.0020954,0.00061867,1.6628e-05,0.015663,1,0.0063799,0.0045,0.0045,0.00045
-0.025594,0.024146,0,0.0021599,0.00063017,1.6722e-05,0.015648,1,0.0065216,0.0046,0.0046,0.00046
-0.026618,0.025119,0,0.0022247,0.00064153,1.6808e-05,0.015633,1,0.0066634,0.0047,0.0047,0.00047
-0.027657,0.026106,0,0.0022898,0.00065276,1.6886e-05,0.015617,1,0.0068052,0.0048,0.0048,0.00048
-0.028711,0.027107,0,0.0023553,0.00066386,1.6956e-05,0.015601,1,0.0069469,0.0049,0.0049,0.00049
-0.02978,0.028123,0,0.002421,0.00067483,1.7017e-05,0.015585,1,0.0070887,0.005,0.005,0.0005
-0.030896,0.029238,0,0.0024589,0.0006794,1.6985e-05,0.015555,1,0.0072305,0.0051,0.0051,0.00051
-0.032021,0.030362,0,0.0024951,0.00068366,1.695e-05,0.015524,1,0.0073723,0.0052,0.0052,0.00052
-0.033153,0.031496,0,0.0025298,0.00068762,1.6911e-05,0.015493,1,0.007514,0.0053,0.0053,0.00053
-0.034293,0.032639,0,0.0025629,0.00069128,1.6869e-05,0.01546,1,0.0076558,0.0054,0.0054,0.00054
-0.035442,0.033791,0,0.0025943,0.00069464,1.6823e-05,0.015428,1,0.0077976,0.0055,0.0055,0.00055
-0.036598,0.034953,0,0.0026242,0.00069769,1.6774e-05,0.015394,1,0.0079394,0.0056,0.0056,0.00056
-0.037763,0.036124,0,0.0026525,0.00070044,1.6721e-05,0.01536,1,0.0080811,0.0057,0.0057,0.00057
-0.038935,0.037305,0,0.0026791,0.00070289,1.6665e-05,0.015325,1,0.0082229,0.0058,0.0058,0.00058
-0.040116,0.038495,0,0.0027042,0.00070504,1.6605e-05,0.015289,1,0.0083647,0.0059,0.0059,0.00059
-0.041305,0.039694,0,0.0027277,0.00070688,1.6542e-05,0.015253,1,0.0085065,0.006,0.006,0.0006
-0.042502,0.040903,0,0.0027496,0.00070842,1.6475e-05,0.015216,1,0.0086482,0.0061,0.0061,0.00061
-0.043707,0.042121,0,0.0027699,0.00070965,1.6405e-05,0.015178,1,0.00879,0.0062,0.0062,0.00062
-0.04492,0.043348,0,0.0027886,0.00071059,1.6332e-05,0.01514,1,0.0089318,0.0063,0.0063,0.00063
-0.046141,0.044585,0,0.0028057,0.00071122,1.6255e-05,0.015101,1,0.0090736,0.0064,0.0064,0.00064
-0.047371,0.045831,0,0.0028212,0.00071155,1.6175e-05,0.015061,1,0.0092153,0.0065,0.0065,0.00065
-0.048608,0.047086,0,0.0028351,0.00071157,1.6091e-05,0.015021,1,0.0093571,0.0066,0.0066,0.00066
-0.049804,0.048319,0,0.0028393,0.00071031,1.6007e-05,0.014972,1,0.0094989,0.0067,0.0067,0.00067
-0.0509,0.04949,0,0.002826,0.00070698,1.5934e-05,0.014909,1,0.0096407,0.0068,0.0068,0.00068
-0.051988,0.050655,0,0.0028116,0.00070365,1.5868e-05,0.014844,1,0.0097824,0.0069,0.0069,0.00069
-0.053068,0.051816,0,0.0027961,0.00070031,1.5808e-05,0.014779,1,0.0099242,0.007,0.007,0.0007
-0.054141,0.052972,0,0.0027796,0.00069696,1.5753e-05,0.014712,1,0.010066,0.0071,0.0071,0.00071
-0.055207,0.054123,0,0.002762,0.0006936,1.5706e-05,0.014645,1,0.010208,0.0072,0.0072,0.00072
-0.056266,0.05527,0,0.0027433,0.00069023,1.5664e-05,0.014577,1,0.01035,0.0073,0.0073,0.00073
-0.057317,0.056412,0,0.0027235,0.00068686,1.5628e-05,0.014508,1,0.010491,0.0074,0.0074,0.00074
-0.05836,0.057549,0,0.0027026,0.00068348,1.5599e-05,0.014438,1,0.010633,0.0075,0.0075,0.00075
-0.059397,0.058682,0,0.0026807,0.00068009,1.5576e-05,0.014367,1,0.010775,0.0076,0.0076,0.00076
-0.060425,0.05981,0,0.0026577,0.0006767,1.5559e-05,0.014295,1,0.010917,0.0077,0.0077,0.00077
-0.061447,0.060933,0,0.0026336,0.00067329,1.5549e-05,0.014223,1,0.011058,0.0078,0.0078,0.00078
-0.062461,0.062051,0,0.0026084,0.00066988,1.5544e-05,0.014149,1,0.0112,0.0079,0.0079,0.00079
-0.063468,0.063165,0,0.0025821,0.00066646,1.5546e-05,0.014075,1,0.011342,0.008,0.008,0.0008
-0.064467,0.064274,0,0.0025548,0.00066304,1.5554e-05,0.014,1,0.011484,0.0081,0.0081,0.00081
-0.065459,0.065379,0,0.0025264,0.0006596,1.5569e-05,0.013924,1,0.011626,0.0082,0.0082,0.00082
-0.066444,0.066479,0,0.0024969,0.00065616,1.5589e-05,0.013847,1,0.011767,0.0083,0.0083,0.00083
-0.067214,0.067368,0,0.002469,0.00065537,1.5744e-05,0.013756,1,0.011909,0.0084,0.0084,0.00084
-0.067866,0.068143,0,0.0024426,0.00065609,1.5974e-05,0.013657,1,0.012051,0.0085,0.0085,0.00085
-0.068505,0.068904,0,0.0024166,0.00065706,1.6216e-05,0.013558,1,0.012193,0.0086,0.0086,0.00086
-0.069129,0.069652,0,0.0023911,0.00065827,1.6471e-05,0.013458,1,0.012334,0.0087,0.0087,0.00087
-0.069739,0.070387,0,0.002366,0.00065971,1.6739e-05,0.013358,1,0.012476,0.0088,0.0088,0.00088
-0.070336,0.071108,0,0.0023414,0.0006614,1.7018e-05,0.013257,1,0.012618,0.0089,0.0089,0.00089
-0.070918,0.071816,0,0.0023172,0.00066332,1.7311e-05,0.013155,1,0.01276,0.009,0.009,0.0009
-0.071486,0.07251,0,0.0022935,0.00066548,1.7615e-05,0.013053,1,0.012901,0.0091,0.0091,0.00091
-0.072039,0.073191,0,0.0022703,0.00066788,1.7932e-05,0.012951,1,0.013043,0.0092,0.0092,0.00092
-0.072579,0.073859,0,0.0022475,0.00067052,1.8262e-05,0.012848,1,0.013185,0.0093,0.0093,0.00093
-0.073105,0.074513,0,0.0022251,0.0006734,1.8603e-05,0.012744,1,0.013327,0.0094,0.0094,0.00094
-0.073616,0.075153,0,0.0022032,0.00067652,1.8958e-05,0.01264,1,0.013469,0.0095,0.0095,0.00095
-0.074114,0.075781,0,0.0021817,0.00067987,1.9324e-05,0.012535,1,0.01361,0.0096,0.0096,0.00096
-0.074597,0.076394,0,0.0021607,0.00068346,1.9703e-05,0.01243,1,0.013752,0.0097,0.0097,0.00097
-0.075067,0.076995,0,0.0021401,0.0006873,2.0095e-05,0.012324,1,0.013894,0.0098,0.0098,0.00098
-0.075522,0.077582,0,0.00212,0.00069137,2.0499e-05,0.012218,1,0.014036,0.0099,0.0099,0.00099
-0.075963,0.078155,0,0.0021003,0.00069568,2.0915e-05,0.012111,1,0.014177,0.01,0.01,0.001
-0.07618,0.078463,0,0.0020921,0.00070352,2.1511e-05,0.011993,1,0.014319,0.0101,0.0101,0.00101
-0.076388,0.078762,0,0.0020841,0.00071145,2.2115e-05,0.011875,1,0.014461,0.0102,0.0102,0.00102
-0.076589,0.079051,0,0.0020762,0.00071945,2.2727e-05,0.011757,1,0.014603,0.0103,0.0103,0.00103
-0.076781,0.079332,0,0.0020685,0.00072754,2.3346e-05,0.01164,1,0.014745,0.0104,0.0104,0.00104
